prompt,completion
"I think these are reasonable, and should protect you from lawyering. Should I go ahead and add this?",neutral
Thanks--can you add the romanization of the Arabic at <url> too? Is it ''jibna baladi''?,neutral
I noticed that you have a lot of empty or blanked sandboxes that you used before moving articles to mainspace. Do you want these deleted or are you saving them for something?,neutral
Depends; do you care deeply about image policy? Or are you an incurable masochist?,neutral
Is the new draft at <url> OK with you? Do you have any comments or suggestions?,polite
Thanks for putting the igneous rock template on all of those articles - it looks really useful! Do you think it should have an ultramafic section added?,neutral
"I have, and they have not responded in one week. How long should I give it?",polite
I've started looking at this article as you asked and inevitably I've got a few questions. Would you prefer me to list them here or on the article's talk page?,polite
"You recently edited this page. It is my view that this page is just a corporate marketing listing, there are several hundred companies that do the same job yet are not listed in Wikipedia - Do you not think that this is advertorial?",impolite
"You deleted this, but somehow it still shows up on the parent category's page <url>.  Is this normal and/or can you fix this?",neutral
"If it's a military box, how do you put the v-d-e in the corner? Or are those box types exempt?",neutral
sir.. what is the exact time will it be deleted.. sir.. do you have any facebook account.?,neutral
"Anyway, the point is that the bot is editing against <url>. Can you let me know whether you intend to continue or whether we can agree that you'll stop using it to do this?",neutral
"Without participating in talk page discussion, you have deleted reliable sources, and rewritten a sentence so that it is supported by no sources at all except your personal opinion.<url>  Am I missing something here?",neutral
It seems like the bot hasn't made any contributions in quite a while.  Is something wrong?,neutral
Why not try adding sources from time to time? If you won't who do you expect to do so?,impolite
"What do you mean ""personal attack""? Why don't site what my ""personal attack"" is?",impolite
"Woohoo--279 hits! Hey Scientist, is that an all-time low?",impolite
to the Citations missing template. What's the deal?,impolite
Can I ask: was this really the implication that you intended in making this change?  And do you really think the RfC expressed consensus support for such a position?,neutral
Back on topic Jigglyfidders; I totally agree with Deconstructhis on this one. What will you do to address this issue?,neutral
"Looking through the dicussions on the DRM Talk page, I'm failing to find the point where consensus was reached.  Would you mind pointing it out to me?",neutral
Just curious... Where did it come from?  Where did you cut and paste it from?,neutral
They're back again - this time with IP 37.105.37.15 (also from Saudi Telecom Co DSL). Fortunately Jasper Deng stepped in - I presume they're an admin of some sort?,neutral
"Umm... isn't the template page itself semi-protected? If so, then shouldn't it be in the category?",neutral
"Right from the first version you created, this article says she was born in both 1976 and 1985! Could you sort it out, please?",neutral
"Thanks, but I believe I've covered the sustance. Could you also get Beeblebrox to strike the ""Mr"" insult, unless he was doing it deliberately?",neutral
"I'd like to ask why you're so insistent on creating a page called <url>, which means the same thing as <url>.  Are you disagreeing that they mean the same thing, do you feel that the <url> article is bad, or do you feel that <url> is a better name for the article?",neutral
I can't seem to find the mention. Do you know what page?,polite
"Hi, just noticed you reverted this page back to its pre-COPYVIO state.  Any reason you didn't use the content at <url>?",neutral
"In an article like <url>, I think it would be better if you based the content on secondary sources rather than articles that you have found in the ''BMJ'''s online archive. Could I persuade you to discuss your additions on <url>?",neutral
"Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?",neutral
Thank you for taking the time to dig up the references. Are you planning on integrating them into the article sometime soon?,neutral
Why did you just do that? I am being serious - what business was it of yours exactly?,neutral
Doing too many things at once?  Not listening ?,impolite
Sorry Less? What is that last postdirected at?,impolite
"The film noir edits are continuing. Given the sockpuppetry, is WP:AIV appropriate without further warnings?",neutral
"Hello Muhandes - just wanted to let you know I've changed this template, <url>. It looked like your last edit was a mistake?",neutral
"Per <url>, edits that change the meaning of an article shouldn't normally be marked as minor.  Looking at your recent contributions, I see they're all marked as minor... perhaps you've inadvertantly ticked the ""Mark all edits minor by default"" check box in the Editing tab of your user preferences?",neutral
"Sorry if it seems like I'm bugging you about the above image - I'm trying to determine the copyright holder, which needs to be specified on the image page per <url>a. When I click on the source link, I get an ""access forbidden"" message. Can you please specify the copyright holder on the page?",neutral
I saw you changing a block's duration to 99 years. Isn't that as good as indefinite?,impolite
"(ec)Yes, I just saw that in ""my"" contribs"". And apparently only arbcom members can close them... Best course of action?",impolite
"My problem is that the Style Guide for cities causes several topics for this small village to be repeated somewhat, especially the railroad, Gas Boom, and stockyard.  Any thoughts on this article's organization?",neutral
"Cool, so you understand what ""subst:"" does now? Btw, eh, where are the section edit links on this talk page?",polite
So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?,impolite
"About the citations for plot details, which HighwayCello mentions above, I've commented on this over at <url>. Maybe the whole discussion should be taken to the talk page of the article itself?",impolite
"Thanks for the redirect help!  Is that something I can do myself in the future, or is that an admin thing?",neutral
What do you think about the character section? Think we should add a few more/take away Ona Nobis and Zan Arbor?,neutral
"PS I also am wondering about the letter ""ll"". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s nothing on the <url> or <url> pages about it: Can you shed any light on this?",neutral
I don't see any of that in his deletion log.  Would you please find out which one it was as evidence so you're not blindly accusing an admin of deleting something they didn't delete?,polite
"Can I also point out that the text that you pasted into Wikipedia is entirely inappropriate for an encyclopedia article and at best will require extensive editing to conform to the<url>. Are you going to do that editing, or are you going to leave it to one of the other 'lazy' people who edit this encyclopedia?",impolite
"Yes, I appreciate that my edits were not the best, but they are currently the best available in Wikipedia for guiding readers in understanding there the emergence of the legal systems of the United Kingdom. Do You have a better suggestion?",polite
"You are being very insulting on <url>. Can't you just trust the strength of your arguments, instead of insulting people who are doing their best to help improve Wikipedia?",impolite
"What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?",neutral
"That is a forum, not a <url>. Do you have any other sources?",neutral
"In the <url> article, is polar mount correct?  It might be improved by a bit more detail about how it works, perhaps?",polite
Are you calling me a vandal for visiting your user page?  Or am I just <url>?,impolite
I don't understand what you mean. Are you saying I cannot link from within a ref tag?,neutral
No kidding.  Perhaps you could be troubled to point out the parts you consider to be actionable as 'spam'?,neutral
"I'm a little surprised you haven't responded to my suggestions regarding the GAN yet. Is there some sort of a problem there, or have you just not managed to get around to it yet?",neutral
<url>. Or is it just me?,impolite
"Hey Nick, thanks for writing the book reviews! Would you like me to run one or both of them?",polite
"<url> is based at 340 Laurier Avenue West Ottawa, Ontario K1A 0P9 - It doesn't have a photo posted yet. Is this convenient for you?",polite
"You mean ""the higher solubility in the ocean""? Solubility of what?",neutral
"<url> is one of the three fundamental Wikipedia content policies; why is it a ""shame"" you have to follow it? What did you mean by ""people like you""?",polite
"Thanks, can we write an article on that ? do you think it is notable enough ?",neutral
Is there a way you can advise on how I can get my page back to make edits to it??,neutral
I'm very impressed with your work getting Niagara County's NRHP list filled out with pictures and articles!  Did you take most of those new pictures yourself?,polite
"i took the photo, and if the kludgy licensing template would allow me to license i would. do you actually fix things or tag spam?",neutral
"Well, I bet you got that from stalking me. Are you making a template I can use?",impolite
Sure. A redirect how though?,neutral
I was thinking about bringing that up.  I wonder if this is the first time someone's beat me to it?,impolite
Other than that I think the artical is ready to go. What say you?,polite
Now why would you do that when he specifically stated that he didn't want to discuss the matter for 48 hours and I specifically stated that people should come here? Did you not read his request?,neutral
I thought we had already established consensus last month. What exactly is the deal with the parenthesis and columns?,impolite
Force vector and displacement vector is a bit wonky and way above my head in mathematical theory but I wonu2019t disagree. Can you link the two to another article?,neutral
Why on earth have you deleted the article on the <url>?  Can you please undelete it?,neutral
"Hi Royalbroil, I can't seem to find a hook I entered in DYK Feb 24, it's about the novel <url>, along with suggestions from other eds. Can you find what happened to it, please?",polite
"Hi, what was the image you are having problems with? Was it <url>?",polite
That sounds to POVish to me <url>. What do you think?,neutral
I don't recall. Is there something there that could damage my computer?,neutral
"OK, I will do that. But probably we should first set the gallery up on commons - do you know anything about editing/creating there?",neutral
# And what evidence do you have that I am committing revenge?  Revenge for what?,impolite
"I always thought it would be better to list both missions (up and down) but only include one patch (up) to clarify the fact that it is one mission altogether, this is how it's done in other articles about non-career astronauts and cosmonauts. Is there a policy that says anything about this?",neutral
"Hi, I wsa just noticing that in <url>, players such as Tommy Walsh and Paul O'Connor have appeared under 'T' and 'P' respectively, rather than 'W' and 'O'.  How should that be fixed?",neutral
Are you sure that you want to withdraw your nomination to delete the 2 old articles? Don't you want the 2 articles deleted since they have been merged into something much better?,impolite
"I'm working on Debra <url>, but I'm worried at how I'm doing on the article and the ""title"" of the references. They are really long, like  ""Monthly Weather Review - Volume 107 - Atlantic Hurricane Season of 1978 - page 6"" - is that okay for a reference name?",neutral
"I get the error message ""sorry, not enough content to play this station"". Can you explain a bit what your code do, and does this need an account on Lastfm or something else ?",neutral
"I couldn't find your source. How is ""Ye"" related to or different from ""Dongye""?",neutral
It looks like it was carved out of both Ochamchira and Gali but I'm not sure whether that's actually the case. Do you?,polite
"I'm sorry, I'm having trouble understanding your question. Could you try again?",neutral
A question has come up whether <url> was Jewish (see <url>).  Do you have any references that might help?,neutral
"He's clearly beyond the pale of Wikiquette, farther than nearly anything I've seen, what with this AFD thing and the claim that you and Mkdw ""blanked"" the talkpage and so on; see my latest on <url> which ironically enough I posted just before he began his latest onslaught; the US edition of Entertainment Tonight used H.N. tonight - to refer to Sundance, without mentioning the Canadian context at that festival, which of course the Canadian edition which follows it ''did''...but I could only chuckle because the Hollywood machine behind Entertainment Tonight, or that show's writers anyway, seem to use the term to mean anywhere in the cold; not even north of the border...anyway, seems to me that Yellowsnow needs a big spanking; but which area of <url> is the right one to use?",neutral
Please see <url>. Should I move the material to the <url> and resubmit the nomination?,neutral
A remarkably modern-sounding name for something being applied to articles on people who've been dead for centuries. You really think it's appropriate for <url> ?,neutral
"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",neutral
"""Oh, that"", eh? So, you ''wrongly accused me of making death threats'', and that's all you have to say for yourself?",neutral
This is starting to almost feel like harassment. Perhaps we should take this to a mediation committee?,impolite
"Thank you, Cremepuff222, for the kind words. :) How have you been?",polite
"Cool. ''(sound of ruffling wiki-pages back and forth)'' ""Looking forward"" on which talk page?",neutral
I am very confused right now. Please make it clearer to me how I vandalized?,neutral
"If the only page you've been visiting is Wikipedia, then it makes sense the viruses would come from here, but if you've been to other sites, they get thrown into the equation. Again, don't you have any anti-virus software?",impolite
"I am puzzled by your ""fixing"" of the recursion formula at <url>.  Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",neutral
"Hi there, I've reworded that paragraph a bit. Is it any clearer?",neutral
I have absolutely no idea what you are talking about.  Please be more precise?,polite
Hope you get the concerns worked out. Question: Why is the bot using <nowiki><sup>2</sup></nowiki> instead of xb2 ?,neutral
"Hi there, what do you think would be a good way to explicitly point out in IPA that a two vowel string is <url> and not a <url>? Can one use the same underdot diacritic used for <url>s, <person>?",neutral
"Ah, so next time I don't have to include ""Places"". Are there more specific categories I could use instead of ""Places""?",neutral
"Well, look again! Does ''<url>'' look like a dictionary-definition page to you?",impolite
"I've deleted the diagram from the <url> article because, as Curtis Clark points out in <url>, the diagram does not represent the results of the reference it purports to represent. Can't we reproduce an actual diagram from a published reference as ""fair use"" as long as we properly label & attribute it?",neutral
What is the source of this image? and why do you think it's PD?,neutral
"More a bot to flag articles where persondata and defaultsort disagree, so that humans can check which is correct. I presume your bot already detects cases where DEFAULTSORT and listas disagree?",neutral
"p.s. I'd be right that you're a supporter of corporal punishment, I presume?",neutral
Thanks for the referrence.  Do you have any other response to the Bozo who doubts notability?,neutral
"I don't own any from Rousseau either, but I did know it was Grand Cru, just made a mistake! I notice above you and Stefan discussing the Langton's Classification Wines, I'm going to have a go at getting articles made for more of the exceptional level producers, I've just finished one on <url> - are you interested in working on any of them together?",neutral
I'm responding here in an effort to keep the conversation in one place and would appreciate it if you would do the same. Did you see where I said above that images which only allow non-commercial use are still considered to be non-free?,polite
"Thanks, I didn't notice the earlier discussion. Would you consider (if you haven't done so yet) adding some indication on either page that these are the same user?",polite
"Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read <url>?",neutral
The logo gallery on the <url> article is acting very strange. Can you help me with this?,neutral
"I didn't see your internal link, I put it back.  <url> isn't orphaned, what are you talking about?",impolite
Hello-I think you know more about <url> than I do. Want to check it?,neutral
It's been 2 years since <url> was semi-protected. Worth opening it up to see if the vandals have gone away?,neutral
"Actually, material in the lead must be discussed in the body. Contemporary economics haven't been discussed in the body, so how can they be discussed in the lead?",impolite
"<font color=""green"">'''Replied'''</font>Yep, that list seems to include ALL ships launched that year, so that work out just fine. By the way, what exactly is the notability of this ship?",neutral
"I've sent an email to NCBI about this. What sort of ""Board action"" were you referrring to?",neutral
"The information itself obviously demonstrates notability. I'm sure other sources can be found, however&mdash;will you back off if other sources are added?",neutral
"I've now blocked them as the account appears to be used only for vandalism. Since your username is prone to being mis-spelled can I suggest you set up some ""dead"" <url> accounts to pre-empt further impersonations?",neutral
"Already past my two ""spelling correction"" edits ;) (though they are obsessed with defense). I noticed one of them changed a quoted spelling: ''acknowledgment'' to ''acknowledgement'', did you get that one?",neutral
Please don't talk like a robot. What harm did it do?,impolite
How r u doing? what are u upto these days?...what are your current contribs?,neutral
"The file in question was sourced from the official website of Bobby Schilling, bobby2010.com. Does this resolve the issue?",neutral
Thank you for taking the time to review my nomination of <url> as a featured article candidate. I have responded to the issues you raised in <url> - could you please review my replies and let me know if you're satisfied?,neutral
What do you mean they are not related to the scope of <url>? Like which articles?,neutral
"Sorry, where's the selected event? Do you mean the ""Grand Parade of the States""?",neutral
"Thanks, looks like <url> needs some fixin'. By the way, are you honestly ok with me bothering you like this?",polite
"could you email me when you get a chance? not having any luck this end, must be spam filters blocking?",polite
"How exactly is a one-time martial arts tournament, all of whose participants are red-links, notable? Is Wikipedia to have separate articles for every martial arts tournament ever broadcast on television?",impolite
"|style=""vertical-align: top; border-top: 1px solid gray;"" | For creating an article on a relatively obscure bridge with interesting information that remains in the current article, which has become the focus of the world for all the wrong reasons, I hereby award you this oddball barnstar. Who knew all this could happen?",neutral
Agree. Who the hell came up with that in the first place?,impolite
"In the piece <url> it there's mention of being listed as national historic site, but doesn'' appear to be listed on Hudson or Essex. Any ideas?",polite
You said that you set your watchlist to auto-refresh. How do you do this?,neutral
What's wrong with the standard NBA style for the userbox template?  Why can't the Thunder's box look LIKE EVERY OTHER TEAM'S?,impolite
"The image is only used on ONE page - the site of the film.  What is the problem here, and how does it violate wikipedia policy?",neutral
Rxe9nyi leaves out the other gruesome details and adds the context of the fortress.  Do you know which details are in the most widespread and/or original version of this tale?,neutral
"Let me ask you this.  Assuming we take it that the player might have chosen any door to start with and the host may have opened any unchosen goat-hiding door, why do you not insist that the starting sample space must include all the possible door combinations?",neutral
"Hey Ted, you've probably already checked out Game's discography and the new U.S. sales for Doctor's Advocate, which is at 1.7 million, yet the worldwide sales are 1.5 mil. Could it have really sold that much since leaving the top 40 charts?",neutral
Thanks for that. Can you see why copying exactly the text I wrote on your user page and then writing it on mine might not be the best avenue to foster collegial conversation with others?,impolite
"Can I use a manga image colored by myself? There won't be any problems with the lisense, right?",neutral
"<url> is, in reality, a good guy, and quite reasonable.  I'm confident that he'd be happy to help work with you on any image problems -- remember how you and I started out editing together?",polite
Huh? Is that a web address or a wikilink?,neutral
I made a change to your user page. Is that the change you wanted?,impolite
"Hello. Since you have contributed to <url> in the past, could you spare a minute to discuss the fate of <url>?",neutral
"Hi SKS, I saw your post on the discussion on the charts page about Billboard Korea and I clicked the link and the website seems to be up and running but I can't make sense of it. Can you have a look at it?",polite
"I forgot to add, above, that Jed's site also hosts some anti-CF papers.  So, if ALL the papers there are garbage, those would be, too, right?",neutral
"Okay, where can it go then? The list of episodes?",impolite
"What is the most common way to spell the first paragraph of an intro? is it ""lede"" or ""lead"" or something else?",neutral
"Sorry, no admin powers. If serious bring to the admin noticeboard?",impolite
"Thanks; what should I do next time to make it easier, quicker?  Just let you know?",neutral
"Very well, but if heavy vandalism returns so will the protection. Doesn't Hanukkah start on Sunday?",neutral
"I see that you're consistantly reverting vadalism on this page, as well as me. Should we get someone to lock it for awhile?",neutral
an IP user changed Liam's Name into Reim in <url> and i havent seen anyone undo his edit. IS it the official English name?,neutral
"Oh, I see that you removed the redirect from District of Columbia and restored the text.  That has redirected to ""Washington DC"" for about 4 years now, and I've reverted it - if you have something ambitious in mind, please bring it up on one of the talk pages first, okay?",impolite
"I see you have been creating lots of articles on bus stations on the <url>. Considering how little information there is (and is likely to be) for these stations, would it not be better to have them all on one article?",impolite
"Done. I may have missed a few links when copying them across, so could you please look through it just in case?",neutral
"Splash I added the info about his age dispute, the user then removed my edits, called me a liar and added a whole bunch of other deliberately negative POV edits to the article. What can I do now, can they be blocked?",neutral
"I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?",neutral
"A little while back, at the beginning of November, I had said that if you ever were considering adminship, that I would love to support and/or nominate you.  Do you have any interest in pursuing it?",polite
"I suppose I should not have used rollback. I was aware of the problem, but you had not solved it, had you?",impolite
"I think this is from Star Trek: Voyager, right?  Could you make that clear in the article?",neutral
Maybe the area that is now the Chakma Autonomous District Council was (or is?) located within the Lawngtali district?,neutral
"If people want to know more about her, there's the article on her. Are you really meaning to argue that people could not fully understand the concept of imagism without seeing a picture of HD?",neutral
"You created this template, but it is only used in one article. Do you intend to expand its use, or is it not required?",polite
Anon keeps reverting back. what should we do?,neutral
An article about a craver named <url> needs some work. Can you clean the article up?,neutral
"Actually, I was referring to all of the redlinks within the article. Is that not the correct Template to use in that case?",polite
Thanks for striking out the comment. Any chance of a support/oppose vote?,polite
"""Overmans believes that the figure of 473,000 deaths listed in the 1965 German Church Service study is incomplete and not a definitive accounting of losses in the Expulsions"" ? What is ""Expulsions"" here?",neutral
"As I have said before, it is an issue of breadth vs. depth. Are you familiar with such concepts?",neutral
Thanks for the tip.  How come I sometimes come across pages where the trailing 's' is left off (or am I confusing that with the 's situation)?,polite
"The YA article is a right trainwreck, and having had to do much of the exact same work on <url> and <url>, I'm not keen to do it again a third time on <url>, and then defend three separate articles from identical POV pushes. Thoughts?",neutral
I am genuinely trying to do something useful and helpful. Why are you attacking it?,impolite
Mailing lists are so last century. What about a private wiki?,neutral
"These are getting tagged as orphans and stubs. Are they SIAs, do you think?",neutral
"I assume the citation you added recently to <url> was from a website. Can you add the URL, publication date, and access date?",neutral
"I was going to create the list of tallest buildings in Hartford, when I saw that it had been deleted three years ago by you. I don't understand the reason for deletion; can you clarify why?",polite
"Page has been locked - as the only real place to report issues the government experiences is on the Prime Minister of the time's page, I find it quite simply a 'whitewash' to have the AWB/cole enquiry section on his page, there since it happened, removed a few months before the election. Your views?",impolite
"Hey ! There is a little problem on that image you uploaded from Lambiek : Caran d'Ache is supposed to be 2 years old in 1860, but his ''moustache'' and tallness let me think he is not so young... Do you know where to find the real date of the picture ?",impolite
"The cover art image shows annual #2 (1983), and says ""introducing superwoman"". Is that what you were looking for?",neutral
Claro mi madre es de El Salvador y tabien usan el vos. Cuales son los articulos que mas te interesan a vos?,neutral
"So do I, because, inspite of my 100s of friends and supporters, I'm feeling a little beleaguered and lonely here. If I can hang on in here, can't you at least keep me company?",neutral
"Hello Jeffq, I noticed you revert vandalism occasionally. Would you like me to grant your account <url> to help you revert vandalism more easily?",neutral
"Seems like <url> has conveniently ""quit"" the wiki all of a sudden. That wasn't one of ''your'' sockpuppets, was it?",neutral
"I'm just saying that Kingboyk hasn't really been editing lately.  So if you're actually interested in resolving an issue, why not take it to a noticeboard?",neutral
What are your views on <url>? And how can you provide a source for a signature?,impolite
Hmm it looks like it can't be done manually. Is something wrong in my program?,polite
"How do I sign up to volunteer for the Missing TV encyclopedia articles project? Do I just add my name to the list of ""This project is maintained by..."", or something else?",neutral
"I noticed that (although it's striked through now), you considered opposing <url>'s adminship bid on the grounds that they suffer from auditory hallucinations. For future consideration, may I point you <url>?",neutral
"I'm attempting to be incisive, and the articles integrity hasn't been disrupted. Therefore i see no reason why you chose to comment unless you felt that ive wiped out important information?",neutral
I objected because the image is replaceable.  Why can't someone take a picture of it and release it freely?,neutral
"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",impolite
Well? What do you think?,neutral
"Thanks; I was confused by the situation (indeed, I still am), so I had no idea what to do.  One more question: why did you protect Highspeed's talk?",impolite
"I was unaware of <url> when prodding the article.  However, bearing the <person> tag on <url>, is this list really usefull?",neutral
"Actually, the page I am looking for is more like the equivalent of '''<url>''' here at en:wiki.  Do you know of such a page at nn:wiki?",neutral
"<url> and <url> are both accounts which have vandalised the article, and both have been created solely for vandalism. I believe they're one and the same; do you know an admin that can take action?",neutral
"You reverted my wording changes here, pointing to the talk page, but the last comment there is my rationale for the rewording from back when I revamped it. Am I missing something?",neutral
Probably I would have to do quite a bit of alteration in wording. Is that O.K?,polite
I am not equally confident about this pinning one: <person>. Hector again?,impolite
"I uploaded a new version of the Desert Storm map, with Egyptian, Syrian and multinational forces labeled (<url>). How does it look now?",impolite
Really? It wasn't that often was it?,neutral
I don't really see that as a problem. If it's a fringe position why not simply state it as such?,neutral
"I had a quick scan through the <url> article, which while good seems to be to suffer from the negative effects of ""summary style"" when used on very large topics - namely that while the individual sections are good summaries of what they are describing, the ''overall'' article lacks a coherent flow, a narrative taking the reader from beginning to end. Does that make sense?",neutral
"Oh? You know something I don't, Friday?",neutral
"Hi there, thanks a lot for commenting. Just to be absolutely clear, and avoid anybody misinterpreting your remarks, could you say if you prefer version 1 or 2 of the lead?",impolite
"Ha, you're too kind to me, my old friend. MK one day, promise?",neutral
P.S. Did you see the interesting bit of Oregon politics COI today?,neutral
"Thanks for the infomative reply -- I wasn't really questioning your putting the image in the infobox; appearance-wise I don't think it makes much difference. It is better, though, I think, to have the thumbnail indicator -- Is it possible to have that inside the infobox?",polite
Well I came to the same conclusion as Rpyle731. Perhaps a trip to the talk page is in order?,impolite
"I was reading the article reverse overshot wheel, but I can't find anything about the ""reverse"" part. Can you expand this?",neutral
"I have to know; has this got you worried about the quality of GeoNames? If I pick one of the ones that is only accurate to the arc minute, will it be worse?",neutral
Ermenicem de var. Sizin ixe7in hangisi daha kolay?,neutral
"Ta, can tell its cold here - I thought I was putting the message on your talk page and then realised it was indons, and the similar spurious etymology and anecdotal rubbish is at ratu bokos palace as well - had found a brilliant article on ratu boko in BKI but mislaid it anmd havent gone back.  There is a means by where well documented folklore can stay on an article page if the editor knows of the correct texts to qoute re folklore and spurious etymology or geneology in java - but if there is no acknowledgement of the academic/citable ways of exlaining I say that such addons are ad hoc and worth the chop and message to user 'this is an encyc' - watcha think?",neutral
"And what about a more generic function such as f(x, y, z, w) = xxb2 + 2yxb2 + 3zxb2 - wxb2? Would a Hessian be the only way to solve it?",neutral
"Why am I never asked to write a feature. Is it because ""I is black""?",neutral
My request to move the Jotated A (Cyrillic) article to A iotified has generated a bit of <url>.  I wondered if you wanted to express an opinion?,neutral
Especially considering that it took you ''a lot'' more time to vandalize the page than the two seconds it took us to fix it. What's the point?,impolite
Don't you think you should remove the welcoming plate of cookies you left at User:Dococe page???,impolite
Please stop mentioning my name in relation to FW. <url> How many times do I have to ask?,impolite
"It's placed outside of the article body, not ""randomly put in the code"". Why such shuffling is a ""proper CHECKWIKKI task"" and why does it warrant saving an edit?",impolite
"...This may just mean that I'm willing to expand my view of the word ""ancestor"" arbitrarily far, although finding a ribosome-like organism sans nucleic acids and a replicating RNA-like organism sans proteins would probably break it. On the other hand, it'd be really cool and help explain abiogensis, so, who'd really care?",neutral
Thanks. Is <url> BOTijo whilst logged out?,neutral
"Regarding your time setting, I'm a little unsure what you want to do - there are only two things you can change - the timezone offset from GMT, which you set at the bottom of the screen by selecting the correct offset for your location from the list - I'm guessing Asia/Calcutta would be about right, and the way the date/time is displayed, which you choose from the list of five options at the top of the screen. What problems are you having ?",neutral
"<url>  Honestly, I'd like to know if you really are defending <url>.  Do you really believe that they were justified?",neutral
We've got few like this on the horizon and I'm not sure how to approach it. Do we default keep them?,polite
"I've been called a British unionist, Devolutionist & Irish Nationalist, over the years. Not bad, eh?",neutral
"at the end of the <nowiki><head> </head></nowiki>. Could that be fixed again, please?",neutral
"Hey, look at this, I don't even know your name! Quel est votre nom, Mademoiselle?",impolite
"Hey, thanks for your contributions here :). Would you mind referencing them to conform with wiki-policy?",polite
(We need to be IM-ing or something.) What is your opinion of spin-off articles?,neutral
"Soo... I should merge and rewrite, right?",polite
Thanks for your edits to the LEMS article a couple of days back. Any hope of you reviewing it for GAC?,neutral
I'm not seeing it. Has it been fixed?,impolite
"Sure thing, and thank you for noticing! Is the colour better now?",polite
It's about freedom of speech and no Islamic terrorism is going to deter the truth from outing.  And if it's forbidden to look at figures of Mohammed how come you did it; are you going to hell?,impolite
"I have addressed many of the points that you had brought up at the FAC, as well as many of the comments from other editors, some of whom have changed their sentiment recently to ""Support"".  Perhaps you could reevaluate your stance on the article, and see if you feel you could change your position in the current FAC?",neutral
Please see our ongoing discussion <url>. Is this how you properly send a message?,impolite
"So in summing up, I think that ""7 innings played and 150 runs scored"" is a good solution. What do you think?",polite
One last thought on groups claiming to be the FI - don't the <url>s claim to be the Fourth International?  Or perhaps it's just *a* Fourth International?,polite
"I agree, and that is something that I have believed to be the case for a few weeks now, but Coaster7 won't let me make any significant changes that would result as such.  So has it been propsed that the material be merged?",impolite
Ok I've moved <url> back to <url>. Oleg you want to write something on the talk page about the move?,neutral
"Here's a question for you: I have seen ""kvatrutafl"" identified as <url>. Is this accurate, and do you know any good sources of information about kvatrutafl (or about backgammon in medieval Iceland and Scandinavia)?",impolite
"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",polite
I don't understand why Hong is so reluctant to revert unilateral changes from time-to-time when he did so frequently in the past when I or someone else who supported my edits did it. What exactly is the point in me agreeing to this if someone conveniently comes along and then starts making lots of changes that I don't like but Giovanni doesn't mind?,neutral
"Tom, that article is ready for publication, was written by someone else, and your changes aren't improving it.  Did MER-C ask you to work on it?",neutral
"Jason, how do you view your phone call to tlc's father&pastor in the light of the Biblical conflict resolution process? And in the light of the Wikipedian conflict resolution process?",neutral
"OK, I retract this completely: the IP hopper in question should...well, I'm biting my tongue. Have you reported them for vandalism, with their half a dozen IP addresses?",impolite
Has this situation been resolved?  Can we all agree not to replace the comment regarding Orton's son until a secondary source can be provided?,impolite
During your RFA you stated that you would be helping deal with the Scibaby situation after Raul stopped doing it. Do you feel that you've done what you said you were going to do?,neutral
Good day. Can look at this report please <url> ?,polite
Is the bot correct and if so can I assume that is the standard to follow ??,neutral
Are you trying to help him milk the publicity over the WR incident? if it ends up on google with lots of nns why would that matter?,neutral
Congratulations! You are the winner of <url> Round 10. Would you like to prepare the questions for the next Wikifun?,neutral
The block has indeed expired.  What message are you getting when you try to edit?,impolite
"Incorporation sounds like a good plan to me. I guess we need physical signatures for that, not just people typing in a wiki page?",neutral
"I took a look and left comments on <url>.  I am curious, how did you choose to ask me to review your article?",neutral
"Hi - I noticed the same, and was wondering how you do it!  I've been trying to get <url> next to my name by default and I can't seem to manage it... any help?",polite
"You know, occasionally, Momoricks will send me a note telling how one of my snarkier edit summaries made her laugh. Is that the case for the triple-misspell revert I did?",neutral
"The standard would be <person> (as we discussed at some length at the proposals page), to avoid the clumsy double plural.  Any objection if I change it back?",neutral
"An issue has been raised at <url> about this article, which you created. Maybe you can clear up the confusion?",impolite
I'm intending on creating a list of Crash Bandicoot locations. Do have any advice for me?,neutral
And <url> targets <url>. Shouldn't it go to <url>?,neutral
"So then ""good luck with your upcoming defense"" and ""congratulations"" (assuming it goes well:)? Are you headed somewhere else where you will be able to continue working with students on WP-Chem stuff?",polite
"The early life and early carreer can be incorporated into the article, I believe.  Did you want to finish the whole CAA article rewrite first or put part of the rewrite into the article?",neutral
"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",neutral
